,gain
B_12__max,11.459707021713257
B_20__mean,11.455433011054993
B_37__std,11.452229619026184
P_3__max,11.43199610710144
S_16__std,11.414551973342896
S_22__last,11.355615258216858
B_16__mean,11.348647713661194
B_7__std,11.342393398284912
B_11__prev__last,11.33882212638855
B_28__min,11.185966968536377
S_13__max,11.183554887771606
D_75__last,11.16569995880127
D_43__std,11.153401851654053
B_4__max,11.144605159759521
D_59__last,11.115079283714294
B_9__mean,11.02488899230957
D_121__max,11.008540153503418
B_21__std,10.964770913124084
B_15__max,10.944492816925049
D_112__std,10.943652510643005
B_36__max,10.926750779151917
B_1__roll3_std__last,10.922703981399536
P_3__last,10.90049147605896
B_36__last,10.891852855682373
D_128__last,10.890867114067078
D_70__max,10.870869159698486
S_22__max,10.863094806671143
D_119__max,10.851833581924438
R_3__prev__last,10.851417660713196
D_48__roll3_std__last,10.812303185462952
S_16__max,10.805992007255554
S_5__mean,10.803596019744873
B_11__delta_pct__last,10.788970351219177
B_14__last,10.757134675979614
B_11__max,10.744740009307861
R_4__last,10.740111470222473
B_11__roll3_std__last,10.71690559387207
D_63__top1freq,10.708654999732971
B_28__mean,10.69923710823059
D_131__max,10.669362425804138
D_128__min,10.630109429359436
D_102__max,10.564105868339539
B_1__roll3_mean__last,10.552917122840881
D_46__max,10.534440040588379
D_51__min,10.532990217208862
R_21__std,10.511536002159119
D_123__std,10.461530685424805
S_15__min,10.458842277526855
B_26__std,10.451390504837036
B_37__min,10.43574595451355
D_41__delta__last,10.431581854820251
B_11__std,10.430167198181152
B_5__mean,10.419360876083374
S_15__last,10.416174530982971
D_112__mean,10.415698647499084
D_41__std,10.400989770889282
S_12__mean,10.394118189811707
B_5__max,10.389814972877502
D_60__max,10.33021855354309
D_133__std,10.325850129127502
D_115__last,10.32126271724701
S_13__min,10.320396423339844
D_118__last,10.310875415802002
R_1__std,10.212889432907104
D_124__last,10.20663857460022
D_71__last,10.198617458343506
S_11__last,10.191089630126953
D_118__max,10.186463952064514
R_1__max,10.149118304252625
S_23__max,10.137263417243958
D_122__mean,10.092860698699951
D_44__max,10.06049907207489
D_63__last,10.014787673950195
B_8__last,9.971484065055847
S_23__mean,9.954010963439941
D_75__max,9.950055956840515
D_133__mean,9.940574049949646
R_1__roll3_std__last,9.92449414730072
D_112__min,9.920479774475098
D_123__mean,9.918872714042664
B_12__mean,9.89974057674408
B_14__std,9.876866102218628
B_20__min,9.867926478385925
B_5__roll3_std__last,9.830240845680237
D_143__max,9.823047041893005
B_26__mean,9.821723341941833
P_3__std,9.804247498512268
D_104__max,9.725656151771545
B_3__delta_pct__last,9.704599857330322
D_123__max,9.69247281551361
B_24__last,9.67981231212616
R_16__std,9.652312397956848
B_10__last,9.647457599639893
B_1__prev__last,9.645655035972595
D_131__std,9.618356227874756
D_41__max,9.608012914657593
D_77__min,9.600735306739807
P_3__prev__last,9.5974942445755
B_15__mean,9.583688259124756
D_119__last,9.569841861724854
D_122__last,9.56353485584259
D_126__last,9.55815851688385
D_122__min,9.505876898765564
B_11__mean,9.505758047103882
B_18__last,9.472611665725708
S_11__min,9.4719820022583
B_15__std,9.456430435180664
B_37__mean,9.455110907554626
D_124__max,9.412245631217957
D_61__last,9.40481960773468
D_48__std,9.363919019699097
B_13__mean,9.358013033866882
R_6__last,9.331228137016296
D_72__mean,9.32888650894165
B_3__max,9.308253169059753
D_77__mean,9.299384236335754
S_24__mean,9.292702436447144
S_25__min,9.263331651687622
B_15__last,9.256959199905396
B_14__mean,9.254980087280273
D_145__max,9.228606104850769
D_52__max,9.214778304100037
R_12__last,9.191747307777405
D_115__max,9.1767258644104
D_140__last,9.143142700195312
B_6__roll3_mean__last,9.14220643043518
D_70__mean,9.141783475875854
B_26__max,9.130916237831116
B_13__max,9.122381687164307
D_70__last,9.12085247039795
B_11__min,9.10962986946106
D_60__mean,9.107799649238586
S_12__max,9.105531454086304
B_20__last,9.092854142189026
B_14__max,9.09281039237976
B_28__max,9.078223824501038
D_102__std,9.07425594329834
D_91__min,9.070847272872925
B_18__min,9.059741258621216
B_23__mean,9.04683792591095
B_2__roll3_std__last,9.043446779251099
D_59__mean,9.031715989112854
B_25__max,9.020112037658691
D_124__mean,9.006438970565796
S_16__mean,9.005437850952148
S_26__last,9.003872394561768
D_115__mean,8.986652970314026
S_25__last,8.974098086357117
S_12__min,8.97189474105835
S_7__std,8.94860589504242
B_9__prev__last,8.946420907974243
S_6__mean,8.942281365394592
B_11__roll3_mean__last,8.936890602111816
D_122__max,8.934314131736755
