,gain
D_123__mean,4423.711538314819
D_47__min,4367.966440200806
D_77__min,4362.349396705627
D_79__max,4342.211196899414
S_26__std,4315.137996673584
B_40__last,4301.233325958252
D_71__last,4253.766132354736
D_112__mean,4240.357063293457
B_3__max,4200.94672203064
D_48__std,4199.0200300216675
S_16__mean,4166.8839321136475
R_16__mean,4143.805765628815
D_123__max,4100.305462837219
B_5__prev__last,4099.6808385849
B_8__last,4073.9214839935303
S_5__std,4072.702748298645
D_46__max,4066.215747833252
S_25__max,4060.173176765442
D_41__std,4056.6502952575684
P_3__min,4040.746823310852
D_128__min,4031.032353401184
D_52__mean,4023.9789142608643
D_140__last,4023.682240962982
D_44__mean,4006.801549434662
S_11__last,4002.172064781189
D_59__last,3987.8499460220337
D_122__mean,3974.184955596924
B_15__last,3968.4312887191772
D_124__max,3966.480040550232
S_12__max,3956.634602546692
B_4__max,3950.2089700698853
B_21__std,3940.078658103943
D_44__delta__last,3921.3320174217224
D_80__last,3919.992904663086
D_48__min,3896.654806137085
R_11__std,3841.1267080307007
P_2__delta__last,3835.257387161255
S_22__last,3812.1391191482544
S_15__last,3807.082585334778
B_13__mean,3801.0881128311157
B_11__delta__last,3785.528169631958
D_70__last,3784.9705715179443
D_70__mean,3774.5966033935547
S_11__min,3769.7391147613525
D_39__delta__last,3768.3799743652344
D_72__mean,3767.907795906067
R_12__last,3733.2269887924194
B_4__roll3_mean__last,3732.7292098999023
S_22__std,3720.109914779663
B_5__mean,3704.6991577148438
S_27__max,3693.6023864746094
D_61__max,3682.86439037323
D_91__min,3663.024148464203
R_3__prev__last,3656.495259284973
S_15__min,3655.7696533203125
R_1__max,3644.73406791687
S_3__delta__last,3638.230647087097
S_22__max,3617.3810176849365
R_3__std,3583.3653650283813
B_20__last,3574.7131662368774
D_83__last,3570.3850564956665
D_44__roll3_std__last,3559.805932998657
D_122__last,3558.3839559555054
S_23__mean,3470.1494283676147
D_48__max,3468.1359119415283
D_78__last,3448.018189430237
R_1__std,3446.355776786804
R_4__last,3439.7384090423584
B_2__roll3_std__last,3438.5166149139404
D_61__std,3430.7189168930054
B_21__last,3426.4801416397095
S_5__mean,3403.695062637329
S_23__max,3399.9570360183716
S_12__last,3389.4539651870728
S_7__min,3374.1766262054443
S_3__roll3_std__last,3372.092155456543
D_62__max,3367.7466897964478
D_118__mean,3364.249418258667
S_7__std,3361.4241070747375
D_127__last,3310.721480369568
D_141__max,3308.6011838912964
D_121__last,3279.073013305664
B_3__roll3_mean__last,3274.777720451355
B_6__min,3273.4719409942627
D_131__max,3249.845488548279
S_13__last,3230.2701559066772
R_10__last,3217.2989444732666
S_3__delta_pct__last,3209.192226409912
D_61__min,3209.19167804718
B_12__max,3206.1883687973022
D_69__last,3173.952926158905
B_15__max,3167.2614641189575
R_1__roll3_std__last,3158.7360215187073
D_91__last,3154.5280141830444
D_122__max,3154.514765739441
S_13__max,3152.389883041382
D_41__min,3142.599615097046
S_23__min,3133.456383705139
B_1__roll3_std__last,3125.3423233032227
B_14__std,3095.6698894500732
S_8__min,3087.611156463623
D_77__last,3083.342225074768
S_24__std,3041.5202045440674
R_15__last,3007.7997913360596
R_6__last,2997.1785044670105
D_48__mean,2996.2726278305054
D_104__std,2992.202283859253
D_70__std,2988.5236320495605
R_3__min,2985.616951942444
P_3__prev__last,2984.032464027405
P_3__roll3_std__last,2946.337990760803
B_12__mean,2946.3232250213623
D_41__delta__last,2938.8142404556274
B_10__min,2929.0095987319946
B_7__mean,2921.7280015945435
B_3__delta_pct__last,2917.942955970764
S_26__last,2910.9534702301025
D_44__prev__last,2906.2550201416016
D_48__prev__last,2904.2301092147827
D_78__mean,2903.95899105072
B_5__roll3_std__last,2902.7913303375244
D_78__std,2895.0105538368225
B_9__std,2893.879358291626
D_104__max,2890.868522644043
D_139__last,2888.5544805526733
D_107__last,2868.1838884353638
D_91__std,2853.1717581748962
D_69__min,2843.3195428848267
B_10__std,2838.826555252075
D_102__std,2827.989389896393
D_46__std,2815.3460006713867
P_2__delta_pct__last,2812.4589128494263
D_55__min,2810.5828332901
B_33__mean,2807.239405632019
R_8__last,2803.2688450813293
B_6__roll3_std__last,2798.277400970459
S_25__min,2790.6785039901733
R_2__roll3_mean__last,2783.7742528915405
B_9__mean,2780.986954689026
D_96__std,2774.733554840088
B_28__mean,2771.3245573043823
B_22__mean,2768.5834493637085
D_74__min,2764.319927215576
D_44__delta_pct__last,2762.795066833496
D_115__std,2760.767174720764
D_130__min,2758.6846599578857
B_36__last,2753.574185371399
B_15__mean,2748.832308769226
D_69__std,2741.4676599502563
S_16__max,2739.398057937622
B_23__std,2734.4426460266113
D_59__mean,2704.8086643218994
D_45__std,2703.379405975342
R_14__min,2698.198980808258
S_20__mean,2694.2389612197876
B_16__min,2693.1318769454956
B_16__std,2686.6187629699707
D_124__last,2679.642345428467
B_6__std,2678.6091918945312
D_124__mean,2665.793655395508
D_72__std,2656.292486190796
D_133__mean,2635.754405975342
S_3__std,2632.935838699341
D_41__roll3_mean__last,2630.6517696380615
D_143__last,2620.698606491089
D_54__std,2609.3669090270996
D_54__min,2604.5381050109863
D_143__std,2597.2835960388184
B_7__max,2595.1648025512695
D_145__mean,2593.2190165519714
S_18__mean,2593.0533151626587
B_41__std,2590.338068962097
R_1__prev__last,2586.889717102051
D_139__min,2581.332284927368
B_8__max,2574.5774307250977
P_2__roll3_std__last,2574.125100135803
B_41__min,2573.1020793914795
D_54__mean,2565.7442626953125
B_26__std,2562.671977043152
D_80__min,2562.008777618408
D_141__last,2551.8547039031982
S_27__mean,2550.4355001449585
D_83__std,2549.7485313415527
D_41__delta_pct__last,2549.121413230896
B_13__max,2546.425431251526
R_15__mean,2543.8811588287354
B_22__min,2540.8887071609497
R_15__std,2539.9636030197144
R_3__delta_pct__last,2538.793201446533
R_17__last,2535.4079174995422
D_109__min,2535.132474899292
D_143__mean,2533.978585243225
D_92__std,2533.2376050949097
D_77__max,2529.584119796753
D_121__std,2523.4147329330444
D_119__last,2522.8945150375366
D_96__max,2522.3241291046143
R_6__std,2517.0744218826294
D_72__max,2516.6728944778442
R_12__std,2508.1268520355225
B_36__max,2506.8608541488647
D_141__min,2505.211389541626
D_113__min,2503.23002910614
D_48__roll3_mean__last,2498.3224239349365
D_130__last,2491.976103782654
S_27__last,2472.3679180145264
D_83__min,2471.7517442703247
R_21__std,2468.2008237838745
D_72__last,2466.619861602783
B_11__roll3_std__last,2465.351390838623
R_20__min,2464.690851211548
D_122__min,2462.4378147125244
B_2__std,2459.4851512908936
D_124__std,2459.303557395935
R_21__min,2455.5996799468994
D_122__std,2443.970913887024
R_16__last,2438.1927947998047
D_78__min,2429.535108089447
R_24__last,2426.2473001480103
D_41__max,2420.2864809036255
D_139__max,2416.9833641052246
S_5__min,2415.020293235779
B_5__std,2410.7132568359375
D_72__min,2410.517144203186
D_71__min,2410.2952909469604
S_16__std,2404.9952449798584
D_141__mean,2400.1536016464233
D_141__std,2399.3749198913574
D_51__std,2395.9139890670776
R_25__last,2395.2261095046997
S_27__std,2393.4885592460632
D_75__last,2390.1593589782715
D_96__mean,2381.799663066864
D_143__min,2377.664876937866
S_26__min,2375.898931503296
D_113__last,2369.4933671951294
D_44__min,2368.6402978897095
D_54__max,2362.483769416809
D_39__prev__last,2357.9301586151123
D_77__std,2351.669101715088
D_140__min,2349.762063026428
S_16__last,2347.719136238098
S_17__last,2347.2973670959473
D_96__last,2345.3490810394287
R_14__std,2338.9251470565796
R_20__last,2337.4573345184326
B_21__min,2332.4194679260254
D_60__max,2330.5025119781494
B_9__prev__last,2324.998010635376
S_18__last,2324.7594995498657
B_19__last,2324.163498878479
P_3__delta__last,2322.8829984664917
D_58__std,2318.4117908477783
D_145__min,2312.941135406494
S_15__std,2306.5152826309204
R_22__mean,2304.2645025253296
D_41__mean,2303.6627655029297
D_79__min,2303.3611335754395
R_27__std,2299.826256752014
B_6__delta__last,2294.6143827438354
B_15__std,2294.0335931777954
D_92__max,2291.4303674697876
R_14__last,2291.38823223114
D_84__min,2290.4591884613037
D_93__last,2286.7314071655273
S_20__std,2282.838159561157
B_9__roll3_std__last,2280.81600189209
S_11__std,2273.82968044281
D_71__mean,2273.700171470642
R_23__last,2270.2763442993164
B_33__last,2269.2402515411377
B_24__mean,2267.2432503700256
B_25__last,2263.672074317932
D_39__delta_pct__last,2263.2358298301697
R_19__min,2260.6144371032715
D_125__std,2260.340545654297
B_8__std,2259.855097770691
D_69__mean,2257.720266342163
D_81__last,2245.047974586487
R_25__std,2243.7004947662354
D_130__std,2243.2341079711914
R_15__min,2242.5469155311584
B_33__std,2236.1322441101074
D_52__max,2235.201970100403
R_20__mean,2223.315549850464
B_11__prev__last,2220.777660369873
S_6__mean,2220.7357006073
B_32__mean,2220.2566332817078
S_19__last,2218.753355026245
R_3__delta__last,2216.1838598251343
B_5__delta__last,2215.9900784492493
D_103__last,2215.7991304397583
D_109__last,2213.866724014282
D_118__last,2211.865188598633
D_39__mean,2208.8200130462646
D_41__prev__last,2207.0667867660522
R_19__max,2206.416304588318
D_145__last,2206.167353630066
B_24__std,2204.8090057373047
B_19__std,2197.431053161621
S_24__min,2193.533664703369
R_22__std,2193.025171279907
R_22__min,2192.122660636902
R_19__std,2191.571481704712
B_6__delta_pct__last,2187.8490085601807
S_19__min,2183.145782470703
